racket_name,manufacturer,head_size_in,head_size_cm,length_in,length_cm,weight_oz,weight_g,balance_in,balance_cm,balance_pts,swingweight,stiffness,beam_width_1,beam_width_2,beam_width_3,composition,power_level,stroke_style,swing_speed,grip_type,string_mains,string_crosses,stringing_instructions,racquet_colors,string_tension
Yonex EZONE 98L Racquet,,98,632.26,27,68.58,10.6,301,13.38,33.99,1,310,65,23.5,24.5,19.5,2G-NAMD Speed/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Blue/Green,40-55 pounds
Yonex VCORE 98+ Racquet,,98,632.26,27.5,69.85,11.4,323,13.18,33.48,5,333,62,23,23,21,2G-Namd FlexForce/H.M. Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Red,45-60 pounds
Yonex ASTREL 120 Racquet,,120,774.19,27,68.58,9.5,269,14.2,36.07,6 pts HH,315,68,27,28.5,25,2G-NAMD Sped/HM Graphite,Medium-High,Medium-Full,Slow-Moderate,Yonex Synthetic,16,17,"17 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",White,40-55 pounds
Yonex EZONE 98 Tour (2025) Racquet,,98,632.26,27,68.58,11.7,332,12.99,32.99,4,335,62,23.8,24.5,19.5,Minolon/2NAMD-Speed/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Blue,45-60 pounds
Yonex EZONE 100SL Racquet,,100,645.16,27,68.58,10,283,13.38,33.99,1,303,68,23.8,26.5,22.5,2G-NAMD/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,18,"18 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Blue/Green,40-55 pounds
Yonex VCORE 98 Tour Racquet,,98,632.26,27,68.58,11.7,332,13,33.02,4,326,63,23,23,21,2G-Namd FlexForce/H.M. Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Red,45-60 pounds
Yonex VCORE 95 Racquet,,95,612.9,27,68.58,11.5,326,12.59,31.98,7,321,61,22,22,21,2G-Namd FlexForce/H.M. Graphite,Low,Full,Fast,Yonex Synthetic,16,20,"20 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Red,45-60 pounds
Yonex ASTREL 105 Racquet,,105,677.42,27,68.58,9.8,278,13.5,34.29,0 pts EB,305,69,27,28.5,25,2G-NAMD Sped/HM Graphite,Medium-High,Medium-Full,Slow-Moderate,Yonex Synthetic,16,17,"17 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",White,40-55 pounds
Yonex EZONE 110 (2025) Racquet,,110,709.68,27.5,69.85,9.5,269,13.5,34.29,2,301,65,26,29,24,Minolon/Nanocell NEO/HM Graphite,Medium,Medium,Medium,Yonex Synthetic,16,18,"18 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Blue,40-55 pounds
Yonex EZONE 98 Aqua Night Black Racquet,,98,632.26,27,68.58,11.4,323,12.79,32.49,6,314,65,23.5,24.5,19.5,2G-NAMD SPEED/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Black,45-60 pounds
